Technology,Description,Relation (Analysis/Engineering),Employability (1-5),Popularity (1-5),Ease of Learning (1-5),Usefulness (1-5),Typical Use Cases,Common Pairings,Open Source,Cloud Affinity,Workload Scale,Learning Priority
SQL,Standard language to query and transform data in relational databases.,Both,5,5,4,5,"Analytics queries, data modeling, ETL/ELT transformations","PostgreSQL, MySQL, Snowflake, BigQuery, dbt, Power BI",Yes,Any,Small/Medium/Large,High
Python (pandas/NumPy),General-purpose language with core libraries for data manipulation and analysis.,Both,5,5,4,5,"Data cleaning, notebooks, ETL scripts, ML prototyping","Jupyter, Spark, Airflow, scikit-learn, AWS Lambda",Yes,Any,Small/Medium (scripted),High
Power BI,BI platform for interactive reports and dashboards.,Analysis,5,5,4,4,"Business dashboards, self-service analytics, KPI reporting","SQL Server, Azure Synapse, Excel, DAX, Power Query",No,Azure,Small/Medium,High
Tableau,Visual analytics platform for advanced data exploration.,Analysis,4,4,3,4,"Exploratory analysis, storytelling, executive dashboards","Snowflake, PostgreSQL, BigQuery, Prep",No,Any,Small/Medium,Medium
Excel (analytics),Ubiquitous spreadsheet for quick analysis and lightweight dashboards.,Analysis,4,5,5,4,"Ad hoc analysis, data cleaning, KPI tracking","Power Query, Power BI, CSV/Parquet exports",No,Any,Small,Medium
Apache Airflow,Workflow orchestrator for production data pipelines.,Engineering,4,4,3,4,"Scheduled ETL/ELT, dependency management, data SLAs","Spark, BigQuery, Redshift, Snowflake, Docker, Kubernetes",Yes,Any,Medium/Large,High
dbt,SQL-first framework for transformations inside the data warehouse.,Engineering,4,4,4,4,"Data modeling, tests, documentation, ELT transformations","Snowflake, BigQuery, Redshift, Postgres, Airflow",Mixed,Any,Medium/Large,High
Apache Spark / PySpark,Distributed processing engine for large-scale batch and ML workloads.,Engineering,4,4,2,5,"Large-scale ETL, feature engineering, lakehouse processing","Delta Lake, Parquet, Databricks, S3/ADLS/GCS",Yes,Any,Large,High
Apache Kafka,Event streaming platform and durable commit log for real-time data.,Engineering,4,4,2,5,"Real-time pipelines, CDC, event-driven architectures","Flink, ksqlDB, Spark Structured Streaming, Kinesis",Yes,Any,Real-time/Large,High
BigQuery,Serverless data warehouse on Google Cloud for analytics/ELT.,Engineering,4,4,4,4,"Analytical warehousing, ELT, federated queries, ML with BQML","Dataflow, Looker, dbt, GCS, Pub/Sub",No,GCP,Medium/Large,High
